1787899794.0,-0.36,10.79,161.5,0.73,0.65,1.28,0.24,0.41,3.00,0.75,0.48,0.32,0.31,0.41,0.34,0.36,0.27,0.34,0.42
1787899794.4,-0.53,10.86,159.7,0.71,0.66,1.29,0.23,0.40,3.00,0.74,0.50,0.35,0.31,0.41,0.36,0.36,0.28,0.36,0.42
1787899794.9,-0.57,10.87,158.8,0.64,0.55,1.24,1.54,0.23,3.00,1.11,0.57,0.44,0.42,0.48,0.35,0.27,0.29,0.29,0.34
1787899795.5,-0.57,10.87,160.8,0.64,0.57,1.24,1.54,0.23,3.00,1.12,0.58,0.43,0.39,0.48,0.35,0.28,0.28,0.30,0.33
1787899796.0,-0.58,10.87,158.9,0.63,0.56,1.24,1.55,0.22,3.00,1.13,0.58,0.43,0.40,0.49,0.37,0.29,0.29,0.32,0.35
1787899796.6,-0.57,10.87,157.1,0.66,0.56,1.24,1.54,0.20,3.00,1.12,0.55,0.42,0.40,0.46,0.37,0.28,0.28,0.30,0.36
1787899797.1,-0.57,10.87,156.5,0.66,0.54,1.22,1.55,0.23,3.00,1.13,0.57,0.43,0.40,0.46,0.35,0.28,0.28,0.31,0.33
1787899797.6,-0.57,10.87,159.1,0.65,0.56,1.24,1.54,0.22,3.00,1.11,0.57,0.43,0.39,0.47,0.37,0.30,0.30,0.30,0.34
1787899799.8,-0.23,10.48,132.6,0.43,0.78,0.75,1.35,0.33,0.45,1.92,0.98,0.41,0.27,0.21,0.22,0.35,0.38,0.38,0.32
1787899802.6,-0.23,10.48,147.0,0.75,0.77,1.29,0.33,0.43,1.47,1.01,0.40,0.27,0.22,0.22,0.33,0.38,0.37,0.33,0.43
1787899803.0,-0.39,10.57,151.3,0.76,0.76,1.31,0.30,0.42,1.47,1.01,0.42,0.28,0.22,0.23,0.33,0.40,0.35,0.32,0.43
