1787896271.3,-0.08,0.39,92.1,1.94,0.47,0.25,0.23,0.23,0.21,0.33,0.51,2.46,0.71,0.36,0.33,0.27,0.34,0.44,0.87,tick=79074 goal=0
1787896271.5,-0.09,0.46,90.6,1.94,0.45,0.25,0.20,0.21,0.21,0.34,0.54,2.48,0.68,0.34,0.32,0.26,0.33,0.44,0.86,tick=79095 goal=0
1787896271.8,-0.09,0.55,94.6,1.93,0.45,0.33,0.21,0.22,0.21,0.38,0.55,2.50,0.70,0.38,0.33,0.27,0.36,0.43,0.86,tick=79116 goal=0
1787896272.1,-0.09,0.62,94.7,1.85,0.48,0.35,0.19,0.20,0.22,0.30,0.45,2.55,0.72,0.41,0.30,0.28,0.36,0.41,0.86,tick=79154 goal=0
1787896272.3,-0.09,0.68,94.0,1.85,0.47,0.36,0.19,0.20,0.23,0.30,0.45,2.57,0.73,0.42,0.30,0.28,0.37,0.41,0.83,tick=79175 goal=0
1787896272.5,-0.10,0.75,88.7,1.84,0.47,0.34,0.20,0.17,0.24,0.27,0.45,2.59,0.75,0.44,0.28,0.31,0.38,0.40,0.82,tick=79196 goal=0
1787896272.8,-0.10,0.83,92.5,1.82,0.47,0.32,0.21,0.15,0.23,0.29,0.46,2.60,0.76,0.43,0.28,0.32,0.37,0.41,0.81,tick=79217 goal=0
1787896273.0,-0.09,0.89,94.0,1.76,0.44,0.30,0.25,0.17,0.22,0.28,0.50,2.65,0.79,0.44,0.28,0.34,0.34,0.39,0.77,tick=79247 goal=0
1787896273.2,-0.10,0.95,88.2,1.75,0.46,0.27,0.26,0.17,0.20,0.29,0.51,2.66,0.81,0.43,0.31,0.34,0.35,0.41,0.78,tick=79268 goal=0
1787896273.4,-0.10,1.01,91.6,1.71,0.46,0.25,0.28,0.20,0.18,0.30,0.52,2.70,0.81,0.41,0.31,0.35,0.32,0.41,0.80,tick=79289 goal=0
1787896273.6,-0.10,1.07,90.3,1.71,0.55,0.25,0.27,0.21,0.18,0.30,0.54,2.73,0.82,0.43,0.33,0.33,0.32,0.41,0.80,tick=79310 goal=0
1787896273.8,-0.10,1.13,90.6,1.69,0.52,0.26,0.26,0.26,0.18,0.30,0.57,2.73,0.82,0.41,0.31,0.34,0.31,0.39,0.86,tick=79331 goal=0
1787896274.0,-0.10,1.19,92.3,1.67,0.52,0.27,0.24,0.23,0.21,0.29,0.58,2.76,0.85,0.38,0.34,0.35,0.31,0.41,0.88,tick=79352 goal=0
1787896274.3,-0.10,1.25,90.8,1.64,0.49,0.25,0.22,0.25,0.22,0.24,0.58,2.78,0.80,0.38,0.34,0.33,0.29,0.39,0.87,tick=79372 goal=0
1787896274.5,-0.10,1.31,88.1,1.62,0.50,0.28,0.20,0.24,0.23,0.24,0.61,2.81,0.82,0.39,0.36,0.31,0.29,0.41,0.86,tick=79394 goal=0
1787896274.7,-0.10,1.37,87.9,1.60,0.47,0.27,0.19,0.23,0.25,0.24,0.60,2.83,0.84,0.39,0.37,0.31,0.30,0.44,0.84,tick=79415 goal=0
1787896274.9,-0.11,1.43,89.3,1.56,0.45,0.28,0.22,0.23,0.26,0.26,0.49,2.84,0.83,0.40,0.37,0.31,0.32,0.46,0.84,tick=79435 goal=0
1787896275.1,-0.11,1.49,90.6,1.56,0.44,0.26,0.20,0.21,0.26,0.27,0.51,2.87,0.72,0.39,0.37,0.29,0.31,0.46,0.82,tick=79456 goal=0
1787896275.3,-0.11,1.55,91.5,1.54,0.42,0.24,0.20,0.19,0.27,0.27,0.53,2.87,0.68,0.42,0.36,0.28,0.31,0.47,0.82,tick=79477 goal=0
1787896275.5,-0.11,1.61,90.5,1.50,0.42,0.23,0.21,0.17,0.26,0.29,0.53,2.90,0.71,0.41,0.35,0.27,0.30,0.48,0.79,tick=79498 goal=0
1787896275.7,-0.11,1.67,89.1,1.49,0.36,0.24,0.22,0.18,0.27,0.28,0.53,2.91,0.70,0.44,0.35,0.27,0.32,0.46,0.79,tick=79519 goal=0
1787896275.9,-0.12,1.73,92.5,1.47,0.36,0.24,0.20,0.19,0.27,0.30,0.55,2.92,0.73,0.46,0.32,0.29,0.32,0.48,0.77,tick=79539 goal=0
1787896276.1,-0.12,1.79,91.8,1.43,0.36,0.27,0.19,0.17,0.20,0.33,0.56,2.95,0.75,0.48,0.30,0.27,0.32,0.46,0.74,tick=79560 goal=0
1787896276.3,-0.12,1.85,91.3,1.43,0.36,0.27,0.17,0.18,0.19,0.35,0.56,2.98,0.76,0.48,0.31,0.28,0.33,0.44,0.73,tick=79581 goal=0
1787896276.5,-0.13,1.91,90.1,1.41,0.42,0.30,0.19,0.17,0.20,0.35,0.58,3.00,0.75,0.47,0.29,0.27,0.34,0.45,0.73,tick=79602 goal=0
1787896276.8,-0.13,1.97,92.2,1.37,0.43,0.28,0.18,0.17,0.18,0.36,0.58,2.99,0.77,0.49,0.30,0.27,0.38,0.45,0.72,tick=79623 goal=0
